0,1,2,3,4,5,6,7,8,9,10
coffee,whole milk,,,,,,,,,
canned beer,pip fruit,rolls/buns,brown bread,soft cheese,shopping bags,,,,,
fruit/vegetable juice,pastry,,,,,,,,,
sausage,domestic eggs,,,,,,,,,
rolls/buns,frozen meals,,,,,,,,,
other vegetables,pip fruit,,,,,,,,,
berries,shopping bags,,,,,,,,,
rolls/buns,margarine,whole milk,liquor (appetizer),,,,,,,
root vegetables,frozen meals,,,,,,,,,
chicken,sliced cheese,,,,,,,,,
whole milk,pork,UHT-milk,sliced cheese,beverages,,,,,,
frankfurter,soda,whipped/sour cream,,,,,,,,
yogurt,sugar,margarine,,,,,,,,
whole milk,pastry,chewing gum,shopping bags,,,,,,,
pip fruit,cake bar,,,,,,,,,
frankfurter,soups,,,,,,,,,
pork,newspapers,root vegetables,,,,,,,,
UHT-milk,other vegetables,,,,,,,,,
newspapers,bottled water,,,,,,,,,
beef,ice cream,,,,,,,,,
specialty bar,yogurt,,,,,,,,,
other vegetables,pastry,,,,,,,,,
sausage,fish,,,,,,,,,
berries,whipped/sour cream,bottled water,,,,,,,,
other vegetables,rolls/buns,sweet spreads,,,,,,,,
liver loaf,waffles,,,,,,,,,
coffee,soda,,,,,,,,,
butter,other vegetables,,,,,,,,,
whole milk,waffles,dessert,,,,,,,,
tropical fruit,herbs,,,,,,,,,
beef,citrus fruit,whole milk,yogurt,,,,,,,
canned beer,bottled water,,,,,,,,,
pot plants,dish cleaner,,,,,,,,,
shopping bags,root vegetables,sliced cheese,,,,,,,,
ham,chicken,,,,,,,,,
fruit/vegetable juice,spices,,,,,,,,,
pip fruit,canned beer,,,,,,,,,
tropical fruit,cooking chocolate,,,,,,,,,
frankfurter,oil,other vegetables,,,,,,,,
root vegetables,other vegetables,frozen vegetables,,,,,,,,
frankfurter,brown bread,,,,,,,,,
sausage,hamburger meat,white bread,,,,,,,,
syrup,waffles,,,,,,,,,
bottled beer,soda,frozen vegetables,,,,,,,,
whole milk,other vegetables,,,,,,,,,
sausage,beverages,canned beer,whole milk,,,,,,,
chicken,salty snack,yogurt,,,,,,,,
napkins,canned vegetables,,,,,,,,,
rolls/buns,cream cheese ,,,,,,,,,
other vegetables,root vegetables,pastry,margarine,,,,,,,
yogurt,tropical fruit,bottled water,yogurt,,,,,,,
hard cheese,tropical fruit,,,,,,,,,
dessert,dental care,waffles,,,,,,,,
pastry,whole milk,,,,,,,,,
citrus fruit,salt,,,,,,,,,
frozen vegetables,other vegetables,napkins,,,,,,,,
ice cream,whole milk,,,,,,,,,
frankfurter,liquor (appetizer),red/blush wine,,,,,,,,
chicken,cream cheese ,napkins,,,,,,,,
salty snack,salty snack,canned fish,,,,,,,,
tropical fruit,white bread,butter,,,,,,,,
detergent,tropical fruit,shopping bags,soft cheese,,,,,,,
kitchen towels,rolls/buns,,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
frankfurter,whipped/sour cream,other vegetables,,,,,,,,
rolls/buns,margarine,,,,,,,,,
sausage,whole milk,dessert,,,,,,,,
curd,sugar,,,,,,,,,
specialty chocolate,pasta,soda,long life bakery product,,,,,,,
citrus fruit,ham,,,,,,,,,
citrus fruit,bottled beer,roll products ,,,,,,,,
whole milk,pastry,fruit/vegetable juice,,,,,,,,
pip fruit,white wine,white wine,,,,,,,,
rolls/buns,soda,,,,,,,,,
frankfurter,coffee,,,,,,,,,
other vegetables,domestic eggs,soap,pastry,,,,,,,
ice cream,flower (seeds),,,,,,,,,
pork,citrus fruit,UHT-milk,dessert,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,,
frankfurter,soda,whole milk,whole milk,flour,,,,,,
frankfurter,beverages,beef,whole milk,other vegetables,rolls/buns,softener,vinegar,white bread,,
beef,shopping bags,,,,,,,,,
rolls/buns,long life bakery product,,,,,,,,,
candy,citrus fruit,pasta,soda,,,,,,,
frankfurter,canned beer,pastry,yogurt,,,,,,,
chicken,pip fruit,,,,,,,,,
bottled water,other vegetables,,,,,,,,,
whole milk,whole milk,,,,,,,,,
baking powder,root vegetables,,,,,,,,,
frankfurter,light bulbs,rolls/buns,pasta,,,,,,,
whipped/sour cream,Instant food products,,,,,,,,,
pip fruit,dessert,,,,,,,,,
frozen meals,newspapers,,,,,,,,,
sausage,sausage,canned beer,spices,,,,,,,
newspapers,salty snack,,,,,,,,,
yogurt,other vegetables,whipped/sour cream,,,,,,,,
chicken,yogurt,,,,,,,,,
bottled water,grapes,,,,,,,,,
coffee,tropical fruit,,,,,,,,,
soda,pip fruit,coffee,,,,,,,,
pork,butter,,,,,,,,,
citrus fruit,cleaner,,,,,,,,,
whole milk,napkins,pastry,long life bakery product,,,,,,,
other vegetables,domestic eggs,napkins,,,,,,,,
processed cheese,canned vegetables,,,,,,,,,
condensed milk,fruit/vegetable juice,white wine,specialty fat,,,,,,,
pork,yogurt,,,,,,,,,
yogurt,specialty vegetables,,,,,,,,,
root vegetables,packaged fruit/vegetables,,,,,,,,,
nuts/prunes,whole milk,,,,,,,,,
whipped/sour cream,canned beer,sliced cheese,,,,,,,,
margarine,berries,,,,,,,,,
newspapers,soda,,,,,,,,,
pork,pip fruit,yogurt,salty snack,,,,,,,
whipped/sour cream,shopping bags,pasta,,,,,,,,
misc. beverages,napkins,,,,,,,,,
bottled water,dessert,,,,,,,,,
tropical fruit,pastry,,,,,,,,,
tropical fruit,soups,,,,,,,,,
frozen dessert,citrus fruit,,,,,,,,,
pastry,misc. beverages,flour,,,,,,,,
beef,soda,,,,,,,,,
other vegetables,pork,rolls/buns,rolls/buns,,,,,,,
citrus fruit,domestic eggs,bottled water,,,,,,,,
whole milk,other vegetables,,,,,,,,,
citrus fruit,toilet cleaner,,,,,,,,,
sausage,whole milk,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
curd,chocolate marshmallow,,,,,,,,,
root vegetables,shopping bags,,,,,,,,,
beef,soda,,,,,,,,,
other vegetables,hamburger meat,citrus fruit,dish cleaner,coffee,coffee,mayonnaise,newspapers,,,
sausage,rolls/buns,,,,,,,,,
whole milk,pastry,yogurt,pot plants,,,,,,,
other vegetables,dessert,,,,,,,,,
root vegetables,sausage,whole milk,chewing gum,brown bread,,,,,,
frozen meals,other vegetables,bottled beer,,,,,,,,
sausage,rolls/buns,,,,,,,,,
pastry,bottled water,,,,,,,,,
dessert,domestic eggs,,,,,,,,,
sausage,pasta,,,,,,,,,
soda,frozen fish,rolls/buns,,,,,,,,
bottled beer,beverages,,,,,,,,,
rolls/buns,bottled water,white bread,brown bread,,,,,,,
beverages,fruit/vegetable juice,,,,,,,,,
tropical fruit,cat food,pot plants,curd,soft cheese,soft cheese,,,,,
frozen potato products,chewing gum,,,,,,,,,
tropical fruit,soda,,,,,,,,,
whole milk,canned beer,,,,,,,,,
other vegetables,whole milk,soups,shopping bags,,,,,,,
coffee,detergent,rolls/buns,pasta,,,,,,,
sausage,butter,,,,,,,,,
sausage,rolls/buns,pickled vegetables,,,,,,,,
chicken,butter,curd,flower (seeds),,,,,,,
sausage,soda,rolls/buns,,,,,,,,
photo/film,grapes,,,,,,,,,
skin care,processed cheese,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
spread cheese,root vegetables,,,,,,,,,
citrus fruit,citrus fruit,,,,,,,,,
whole milk,canned beer,,,,,,,,,
other vegetables,detergent,mayonnaise,dishes,,,,,,,
yogurt,ham,other vegetables,soda,other vegetables,newspapers,nut snack,canned beer,,,
other vegetables,rolls/buns,,,,,,,,,
meat,UHT-milk,,,,,,,,,
tropical fruit,citrus fruit,,,,,,,,,
cream cheese ,margarine,,,,,,,,,
canned beer,citrus fruit,,,,,,,,,
salty snack,sugar,,,,,,,,,
soda,curd,flower (seeds),,,,,,,,
brown bread,pastry,,,,,,,,,
sausage,margarine,,,,,,,,,
root vegetables,butter milk,,,,,,,,,
spread cheese,other vegetables,,,,,,,,,
hamburger meat,white wine,,,,,,,,,
specialty cheese,bottled water,,,,,,,,,
yogurt,sausage,yogurt,pip fruit,curd,,,,,,
UHT-milk,margarine,,,,,,,,,
pork,curd,,,,,,,,,
hygiene articles,napkins,,,,,,,,,
chewing gum,misc. beverages,,,,,,,,,
beef,other vegetables,,,,,,,,,
soda,liquor (appetizer),,,,,,,,,
whole milk,ice cream,,,,,,,,,
yogurt,hamburger meat,,,,,,,,,
ice cream,grapes,,,,,,,,,
sliced cheese,skin care,,,,,,,,,
coffee,softener,,,,,,,,,
baking powder,hair spray,,,,,,,,,
beef,sugar,root vegetables,frozen vegetables,,,,,,,
domestic eggs,newspapers,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
specialty bar,other vegetables,,,,,,,,,
frankfurter,UHT-milk,,,,,,,,,
canned beer,misc. beverages,,,,,,,,,
whole milk,frankfurter,whole milk,curd,canned vegetables,,,,,,
processed cheese,rolls/buns,,,,,,,,,
sliced cheese,pip fruit,,,,,,,,,
sausage,pip fruit,,,,,,,,,
pip fruit,brown bread,,,,,,,,,
frozen fish,coffee,,,,,,,,,
pip fruit,bottled beer,,,,,,,,,
root vegetables,salty snack,,,,,,,,,
specialty bar,tropical fruit,yogurt,bottled beer,baking powder,,,,,,
tropical fruit,yogurt,,,,,,,,,
sausage,flower (seeds),,,,,,,,,
whipped/sour cream,canned beer,,,,,,,,,
root vegetables,candy,,,,,,,,,
sausage,whole milk,,,,,,,,,
pip fruit,soda,,,,,,,,,
liquor,tropical fruit,other vegetables,,,,,,,,
other vegetables,cream cheese ,yogurt,yogurt,whole milk,waffles,curd,fruit/vegetable juice,,,
chicken,rolls/buns,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
whole milk,pastry,,,,,,,,,
root vegetables,domestic eggs,,,,,,,,,
whole milk,shopping bags,rolls/buns,,,,,,,,
UHT-milk,rolls/buns,,,,,,,,,
fruit/vegetable juice,pasta,,,,,,,,,
whole milk,chicken,,,,,,,,,
domestic eggs,whole milk,bottled water,,,,,,,,
specialty bar,bottled water,,,,,,,,,
soda,yogurt,,,,,,,,,
citrus fruit,pip fruit,,,,,,,,,
tropical fruit,pip fruit,root vegetables,pet care,,,,,,,
whole milk,fruit/vegetable juice,shopping bags,shopping bags,,,,,,,
root vegetables,yogurt,,,,,,,,,
misc. beverages,frankfurter,salt,curd,,,,,,,
pip fruit,UHT-milk,shopping bags,,,,,,,,
pip fruit,snack products,,,,,,,,,
ham,brown bread,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
dog food,pastry,,,,,,,,,
whole milk,pip fruit,,,,,,,,,
other vegetables,butter,,,,,,,,,
sausage,hair spray,canned beer,,,,,,,,
onions,bottled water,cream cheese ,hard cheese,,,,,,,
pork,frozen meals,,,,,,,,,
red/blush wine,whole milk,margarine,,,,,,,,
whipped/sour cream,newspapers,,,,,,,,,
chicken,finished products,rolls/buns,butter,rolls/buns,herbs,white bread,,,,
sausage,zwieback,sliced cheese,other vegetables,bottled beer,soda,,,,,
frankfurter,butter,specialty bar,yogurt,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
coffee,bottled beer,shopping bags,,,,,,,,
berries,sliced cheese,,,,,,,,,
oil,brown bread,bottled beer,,,,,,,,
pip fruit,whole milk,,,,,,,,,
whole milk,shopping bags,yogurt,canned beer,,,,,,,
coffee,soda,,,,,,,,,
bottled beer,oil,,,,,,,,,
butter,pastry,,,,,,,,,
waffles,specialty chocolate,,,,,,,,,
beef,salt,,,,,,,,,
citrus fruit,chocolate,,,,,,,,,
ketchup,hard cheese,rolls/buns,,,,,,,,
specialty bar,sliced cheese,,,,,,,,,
yogurt,semi-finished bread,,,,,,,,,
whole milk,candy,semi-finished bread,candy,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
beef,frankfurter,other vegetables,brown bread,,,,,,,
beverages,pickled vegetables,,,,,,,,,
other vegetables,sweet spreads,yogurt,,,,,,,,
canned beer,other vegetables,,,,,,,,,
hard cheese,oil,,,,,,,,,
rolls/buns,canned beer,,,,,,,,,
whole milk,canned beer,processed cheese,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
pip fruit,pot plants,,,,,,,,,
coffee,yogurt,oil,,,,,,,,
frankfurter,whole milk,,,,,,,,,
white bread,canned beer,,,,,,,,,
canned beer,rolls/buns,,,,,,,,,
turkey,photo/film,mayonnaise,,,,,,,,
root vegetables,salty snack,,,,,,,,,
whole milk,butter milk,domestic eggs,,,,,,,,
yogurt,other vegetables,soft cheese,salt,,,,,,,
sausage,tropical fruit,,,,,,,,,
fruit/vegetable juice,detergent,,,,,,,,,
ice cream,citrus fruit,soda,,,,,,,,
candles,whole milk,,,,,,,,,
fruit/vegetable juice,brown bread,,,,,,,,,
sausage,sausage,domestic eggs,dish cleaner,rolls/buns,other vegetables,soda,,,,
yogurt,soft cheese,,,,,,,,,
yogurt,whole milk,,,,,,,,,
root vegetables,dog food,,,,,,,,,
finished products,curd cheese,,,,,,,,,
sausage,bottled water,,,,,,,,,
ham,mayonnaise,,,,,,,,,
dessert,other vegetables,,,,,,,,,
root vegetables,rolls/buns,,,,,,,,,
tropical fruit,coffee,red/blush wine,,,,,,,,
frankfurter,margarine,whole milk,soda,margarine,brown bread,margarine,frozen vegetables,,,
citrus fruit,other vegetables,,,,,,,,,
pet care,photo/film,,,,,,,,,
canned beer,white bread,,,,,,,,,
soda,other vegetables,,,,,,,,,
sausage,whole milk,rolls/buns,,,,,,,,
photo/film,whole milk,,,,,,,,,
rolls/buns,cereals,,,,,,,,,
berries,white bread,,,,,,,,,
specialty chocolate,pet care,,,,,,,,,
meat,rolls/buns,,,,,,,,,
ham,specialty bar,,,,,,,,,
chewing gum,rolls/buns,,,,,,,,,
citrus fruit,pot plants,,,,,,,,,
tropical fruit,grapes,,,,,,,,,
specialty chocolate,other vegetables,,,,,,,,,
soda,bottled water,,,,,,,,,
rolls/buns,soda,other vegetables,vinegar,,,,,,,
beverages,rolls/buns,,,,,,,,,
citrus fruit,fruit/vegetable juice,,,,,,,,,
other vegetables,pudding powder,,,,,,,,,
rolls/buns,condensed milk,whole milk,soda,,,,,,,
pip fruit,shopping bags,,,,,,,,,
tropical fruit,rolls/buns,canned beer,dish cleaner,,,,,,,
other vegetables,cereals,cleaner,,,,,,,,
rolls/buns,potato products,,,,,,,,,
butter,chewing gum,coffee,salty snack,,,,,,,
brown bread,newspapers,margarine,,,,,,,,
butter,ice cream,,,,,,,,,
ham,brown bread,,,,,,,,,
citrus fruit,bottled water,,,,,,,,,
onions,long life bakery product,,,,,,,,,
meat,pasta,,,,,,,,,
citrus fruit,napkins,,,,,,,,,
rolls/buns,grapes,potato products,,,,,,,,
ham,whipped/sour cream,,,,,,,,,
frozen meals,cake bar,,,,,,,,,
processed cheese,dishes,,,,,,,,,
whole milk,white bread,cream cheese ,,,,,,,,
pip fruit,chocolate,,,,,,,,,
tropical fruit,whipped/sour cream,whipped/sour cream,,,,,,,,
whole milk,white wine,UHT-milk,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
cream cheese ,female sanitary products,,,,,,,,,
hard cheese,sugar,bottled water,,,,,,,,
chicken,cling film/bags,rolls/buns,,,,,,,,
whole milk,butter milk,,,,,,,,,
bottled beer,white bread,,,,,,,,,
pickled vegetables,whole milk,,,,,,,,,
pork,sweet spreads,,,,,,,,,
chicken,margarine,,,,,,,,,
frozen meals,other vegetables,bottled beer,,,,,,,,
frozen vegetables,specialty bar,,,,,,,,,
whipped/sour cream,house keeping products,,,,,,,,,
beverages,bottled water,yogurt,,,,,,,,
butter milk,mayonnaise,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
flour,sugar,,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
whole milk,newspapers,,,,,,,,,
frankfurter,bottled water,,,,,,,,,
detergent,fruit/vegetable juice,,,,,,,,,
tropical fruit,bottled water,,,,,,,,,
chicken,pastry,,,,,,,,,
cleaner,shopping bags,,,,,,,,,
bottled beer,newspapers,napkins,,,,,,,,
other vegetables,pot plants,vinegar,,,,,,,,
red/blush wine,domestic eggs,,,,,,,,,
rolls/buns,other vegetables,soda,,,,,,,,
fruit/vegetable juice,newspapers,,,,,,,,,
flour,cream cheese ,,,,,,,,,
whipped/sour cream,soft cheese,,,,,,,,,
bottled water,other vegetables,,,,,,,,,
frankfurter,berries,bottled water,processed cheese,pickled vegetables,,,,,,
whole milk,shopping bags,newspapers,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
rolls/buns,waffles,,,,,,,,,
ham,chicken,condensed milk,other vegetables,whipped/sour cream,,,,,,
sausage,tropical fruit,,,,,,,,,
soda,salt,,,,,,,,,
sausage,bottled water,,,,,,,,,
white bread,domestic eggs,,,,,,,,,
herbs,sausage,candy,whole milk,,,,,,,
hamburger meat,pip fruit,rolls/buns,dishes,,,,,,,
frozen meals,bottled beer,,,,,,,,,
hamburger meat,rolls/buns,pip fruit,berries,,,,,,,
nuts/prunes,white wine,,,,,,,,,
other vegetables,meat,,,,,,,,,
whole milk,brown bread,,,,,,,,,
whole milk,frozen vegetables,,,,,,,,,
citrus fruit,citrus fruit,other vegetables,whole milk,,,,,,,
whole milk,hard cheese,,,,,,,,,
soda,shopping bags,other vegetables,rolls/buns,,,,,,,
domestic eggs,vinegar,chocolate,,,,,,,,
yogurt,other vegetables,,,,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
yogurt,frozen potato products,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
soda,soda,,,,,,,,,
pastry,domestic eggs,,,,,,,,,
pork,tropical fruit,,,,,,,,,
pot plants,herbs,,,,,,,,,
soda,domestic eggs,sliced cheese,soda,,,,,,,
brown bread,cat food,,,,,,,,,
berries,other vegetables,,,,,,,,,
coffee,packaged fruit/vegetables,bottled water,pastry,,,,,,,
chicken,oil,,,,,,,,,
yogurt,brown bread,newspapers,,,,,,,,
citrus fruit,frozen vegetables,,,,,,,,,
root vegetables,soda,other vegetables,,,,,,,,
whole milk,bottled water,,,,,,,,,
sausage,citrus fruit,,,,,,,,,
frankfurter,soda,,,,,,,,,
bottled water,yogurt,,,,,,,,,
meat,specialty chocolate,,,,,,,,,
canned beer,ice cream,,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
sausage,yogurt,,,,,,,,,
whole milk,whole milk,,,,,,,,,
sausage,whole milk,,,,,,,,,
fruit/vegetable juice,root vegetables,,,,,,,,,
snack products,liquor (appetizer),,,,,,,,,
waffles,yogurt,,,,,,,,,
margarine,napkins,,,,,,,,,
soda,sliced cheese,,,,,,,,,
processed cheese,fruit/vegetable juice,frozen meals,cat food,,,,,,,
bottled water,flour,sugar,,,,,,,,
citrus fruit,soda,,,,,,,,,
tropical fruit,yogurt,curd,margarine,,,,,,,
whipped/sour cream,sparkling wine,bottled beer,,,,,,,,
onions,whipped/sour cream,dishes,,,,,,,,
canned beer,other vegetables,,,,,,,,,
rolls/buns,dessert,,,,,,,,,
citrus fruit,female sanitary products,,,,,,,,,
brown bread,frozen dessert,,,,,,,,,
chicken,root vegetables,,,,,,,,,
citrus fruit,whole milk,fruit/vegetable juice,dishes,,,,,,,
frozen vegetables,curd,rolls/buns,,,,,,,,
yogurt,shopping bags,,,,,,,,,
tropical fruit,zwieback,,,,,,,,,
rolls/buns,cream cheese ,margarine,,,,,,,,
meat,photo/film,,,,,,,,,
frankfurter,butter milk,,,,,,,,,
margarine,specialty bar,,,,,,,,,
butter,photo/film,,,,,,,,,
UHT-milk,fish,,,,,,,,,
hamburger meat,yogurt,,,,,,,,,
liver loaf,canned beer,candy,,,,,,,,
chicken,pork,,,,,,,,,
instant coffee,soda,frozen meals,artif. sweetener,,,,,,,
whipped/sour cream,whole milk,,,,,,,,,
other vegetables,cat food,,,,,,,,,
whole milk,frozen meals,,,,,,,,,
rolls/buns,whipped/sour cream,,,,,,,,,
tropical fruit,onions,whipped/sour cream,,,,,,,,
citrus fruit,berries,,,,,,,,,
pastry,waffles,napkins,,,,,,,,
frankfurter,cream cheese ,long life bakery product,,,,,,,,
meat,ham,,,,,,,,,
bottled water,frozen vegetables,frozen vegetables,UHT-milk,,,,,,,
rolls/buns,fruit/vegetable juice,,,,,,,,,
brown bread,frozen fish,,,,,,,,,
hamburger meat,rolls/buns,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
bottled water,domestic eggs,,,,,,,,,
other vegetables,whole milk,pork,onions,,,,,,,
curd,brown bread,,,,,,,,,
pet care,beef,,,,,,,,,
chicken,other vegetables,,,,,,,,,
brown bread,canned beer,,,,,,,,,
pork,root vegetables,,,,,,,,,
bottled water,herbs,,,,,,,,,
sausage,detergent,,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
other vegetables,fruit/vegetable juice,,,,,,,,,
hamburger meat,curd,,,,,,,,,
domestic eggs,beef,coffee,bottled beer,,,,,,,
liver loaf,other vegetables,,,,,,,,,
whole milk,detergent,,,,,,,,,
white bread,newspapers,,,,,,,,,
soda,ice cream,,,,,,,,,
meat,whole milk,,,,,,,,,
frankfurter,condensed milk,,,,,,,,,
whole milk,coffee,,,,,,,,,
red/blush wine,yogurt,,,,,,,,,
other vegetables,salty snack,,,,,,,,,
bottled beer,ice cream,pastry,red/blush wine,,,,,,,
ham,tropical fruit,,,,,,,,,
frozen vegetables,canned beer,,,,,,,,,
soda,butter,,,,,,,,,
canned beer,white bread,male cosmetics,chocolate,,,,,,,
waffles,pasta,,,,,,,,,
rolls/buns,beef,,,,,,,,,
whole milk,brown bread,soda,,,,,,,,
salty snack,bottled beer,,,,,,,,,
beef,yogurt,,,,,,,,,
beef,long life bakery product,berries,candles,,,,,,,
whole milk,rolls/buns,cling film/bags,,,,,,,,
bottled beer,other vegetables,waffles,,,,,,,,
zwieback,white bread,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
pastry,waffles,,,,,,,,,
soap,brown bread,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
chicken,whole milk,,,,,,,,,
pastry,soda,,,,,,,,,
rolls/buns,brown bread,,,,,,,,,
tropical fruit,fruit/vegetable juice,,,,,,,,,
butter milk,margarine,,,,,,,,,
butter,fruit/vegetable juice,,,,,,,,,
berries,fruit/vegetable juice,rolls/buns,,,,,,,,
processed cheese,rolls/buns,,,,,,,,,
beef,bottled beer,specialty chocolate,yogurt,whole milk,,,,,,
pastry,meat,,,,,,,,,
grapes,root vegetables,other vegetables,,,,,,,,
finished products,spread cheese,,,,,,,,,
other vegetables,domestic eggs,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
shopping bags,domestic eggs,,,,,,,,,
brown bread,long life bakery product,,,,,,,,,
yogurt,newspapers,,,,,,,,,
root vegetables,hygiene articles,soda,,,,,,,,
margarine,whole milk,,,,,,,,,
tropical fruit,UHT-milk,whole milk,,,,,,,,
cream cheese ,yogurt,sugar,,,,,,,,
domestic eggs,UHT-milk,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
root vegetables,Instant food products,,,,,,,,,
newspapers,roll products ,,,,,,,,,
whole milk,soda,,,,,,,,,
photo/film,bottled water,,,,,,,,,
root vegetables,whole milk,,,,,,,,,
tropical fruit,grapes,,,,,,,,,
pork,white bread,,,,,,,,,
rolls/buns,pork,,,,,,,,,
whole milk,citrus fruit,pip fruit,butter,grapes,ice cream,margarine,whipped/sour cream,,,
citrus fruit,make up remover,,,,,,,,,
root vegetables,cleaner,,,,,,,,,
margarine,bathroom cleaner,,,,,,,,,
pet care,whole milk,curd,frozen vegetables,,,,,,,
frankfurter,citrus fruit,,,,,,,,,
frozen meals,ham,specialty chocolate,roll products ,,,,,,,
ham,brown bread,,,,,,,,,
sausage,flour,,,,,,,,,
brown bread,yogurt,,,,,,,,,
root vegetables,citrus fruit,other vegetables,pork,herbs,,,,,,
other vegetables,rolls/buns,,,,,,,,,
specialty chocolate,other vegetables,,,,,,,,,
prosecco,onions,,,,,,,,,
beef,waffles,,,,,,,,,
other vegetables,margarine,,,,,,,,,
artif. sweetener,herbs,,,,,,,,,
chicken,yogurt,newspapers,shopping bags,rolls/buns,domestic eggs,,,,,
whole milk,rolls/buns,,,,,,,,,
pastry,frozen potato products,,,,,,,,,
soda,tropical fruit,domestic eggs,domestic eggs,,,,,,,
butter milk,beverages,butter,,,,,,,,
whole milk,pip fruit,,,,,,,,,
soda,newspapers,,,,,,,,,
other vegetables,meat,salty snack,,,,,,,,
sausage,spread cheese,bottled water,,,,,,,,
citrus fruit,whole milk,white bread,cat food,brown bread,bottled beer,,,,,
sausage,curd cheese,,,,,,,,,
long life bakery product,curd,pot plants,soda,,,,,,,
beverages,waffles,,,,,,,,,
sausage,sugar,semi-finished bread,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
shopping bags,rice,,,,,,,,,
onions,other vegetables,,,,,,,,,
pasta,margarine,,,,,,,,,
frozen meals,yogurt,,,,,,,,,
other vegetables,herbs,,,,,,,,,
citrus fruit,hard cheese,,,,,,,,,
citrus fruit,misc. beverages,,,,,,,,,
canned beer,rolls/buns,softener,,,,,,,,
whole milk,soft cheese,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
canned beer,meat,,,,,,,,,
whole milk,domestic eggs,chocolate marshmallow,,,,,,,,
tropical fruit,hamburger meat,tea,,,,,,,,
brown bread,whole milk,white bread,,,,,,,,
frozen dessert,rolls/buns,,,,,,,,,
long life bakery product,root vegetables,other vegetables,,,,,,,,
meat,bottled water,,,,,,,,,
UHT-milk,frozen fish,,,,,,,,,
vinegar,grapes,frozen vegetables,,,,,,,,
sausage,soda,,,,,,,,,
pip fruit,fruit/vegetable juice,,,,,,,,,
canned beer,yogurt,,,,,,,,,
meat,long life bakery product,yogurt,napkins,,,,,,,
citrus fruit,long life bakery product,,,,,,,,,
grapes,herbs,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
fish,fruit/vegetable juice,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
rolls/buns,root vegetables,,,,,,,,,
sausage,yogurt,tidbits,,,,,,,,
yogurt,citrus fruit,,,,,,,,,
bottled beer,chocolate,,,,,,,,,
sausage,bottled beer,,,,,,,,,
bottled beer,other vegetables,,,,,,,,,
domestic eggs,soda,,,,,,,,,
domestic eggs,cat food,,,,,,,,,
white bread,frozen fruits,,,,,,,,,
canned beer,yogurt,,,,,,,,,
whole milk,yogurt,,,,,,,,,
soda,whole milk,,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
bottled water,soda,,,,,,,,,
other vegetables,bottled water,mustard,whole milk,root vegetables,pet care,,,,,
whole milk,pip fruit,detergent,,,,,,,,
newspapers,newspapers,,,,,,,,,
tropical fruit,misc. beverages,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
other vegetables,long life bakery product,,,,,,,,,
salty snack,chocolate,,,,,,,,,
dish cleaner,pet care,,,,,,,,,
dessert,margarine,,,,,,,,,
sausage,citrus fruit,red/blush wine,frozen vegetables,cream,,,,,,
frankfurter,hamburger meat,,,,,,,,,
root vegetables,pastry,,,,,,,,,
pip fruit,whole milk,rolls/buns,,,,,,,,
berries,UHT-milk,newspapers,,,,,,,,
other vegetables,newspapers,soda,,,,,,,,
coffee,hygiene articles,yogurt,,,,,,,,
other vegetables,soda,,,,,,,,,
soda,seasonal products,,,,,,,,,
soda,soda,,,,,,,,,
whole milk,soda,,,,,,,,,
beef,beef,,,,,,,,,
prosecco,dessert,,,,,,,,,
chicken,butter milk,sugar,,,,,,,,
whole milk,onions,,,,,,,,,
rolls/buns,frozen meals,,,,,,,,,
butter,butter,margarine,,,,,,,,
rolls/buns,whole milk,white bread,popcorn,,,,,,,
beverages,curd,,,,,,,,,
chicken,whole milk,newspapers,,,,,,,,
tropical fruit,hamburger meat,,,,,,,,,
